[1, 4, 1, 4,
2, 4, 1, 1,
3, 4, 1, 4,
4, 4, 1, 2,
5, 4, 1, 4,
6, 4, 1, 3,
7, 4, 1, 4,
8, 4, 1, 4,
1, 5, 1, 4,
2, 5, 1, 1,
3, 5, 1, 4,
4, 5, 1, 2,
5, 5, 1, 4,
6, 5, 1, 3,
7, 5, 1, 4,
8, 5, 1, 4,
1, 6, 1, 4,
2, 6, 1, 1,
3, 6, 1, 4,
4, 6, 1, 2,
5, 6, 1, 4,
6, 6, 1, 3,
7, 6, 1, 4,
8, 6, 1, 4,
1, 4, 2, 4,
2, 4, 2, 1,
3, 4, 2, 4,
4, 4, 2, 2,
5, 4, 2, 4,
6, 4, 2, 3,
7, 4, 2, 4,
8, 4, 2, 4,
1, 5, 2, 0,
2, 5, 2, 0,
3, 5, 2, 0,
4, 5, 2, 0,
5, 5, 2, 0,
6, 5, 2, 0,
7, 5, 2, 0,
8, 5, 2, 0,
1, 6, 2, 4,
2, 6, 2, 1,
3, 6, 2, 4,
4, 6, 2, 2,
5, 6, 2, 4,
6, 6, 2, 3,
7, 6, 2, 4,
8, 6, 2, 4,
1, 4, 3, 4,
2, 4, 3, 1,
3, 4, 3, 4,
4, 4, 3, 2,
5, 4, 3, 4,
6, 4, 3, 3,
7, 4, 3, 4,
8, 4, 3, 4,
1, 5, 3, 4,
2, 5, 3, 1,
3, 5, 3, 4,
4, 5, 3, 2,
5, 5, 3, 4,
6, 5, 3, 3,
7, 5, 3, 4,
8, 5, 3, 4,
1, 6, 3, 4,
2, 6, 3, 1,
3, 6, 3, 4,
4, 6, 3, 2,
5, 6, 3, 4,
6, 6, 3, 3,
7, 6, 3, 4,
8, 6, 3, 4]
